ESP Time;Durchschnitt_L;Durchschnitt_R;Geschwindigkeit;Deichsel_Angle;Durchschnitt_L_SE;Durchschnitt_R_SE;Durchschnitt_L_SE2;Durchschnitt_R_SE2;Durchschnitt_L_Be_SE;Durchschnitt_R_Be_SE;Durchschnitt_L_Be_SE2;Durchschnitt_R_Be_SE2
15322;62.000000;61.000000;2.083333;90.680000;24.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
15422;62.000000;61.000000;2.083333;90.619995;24.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
15522;62.000000;61.000000;1.875000;90.860001;24.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
15622;63.000000;61.000000;1.875000;90.680000;24.000000;23.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
15722;62.000000;62.000000;1.875000;90.619995;24.000000;24.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
15822;62.000000;63.000000;1.875000;90.680000;24.000000;24.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
15928;63.000000;63.000000;2.083333;90.680000;24.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
16022;0.000000;0.000000;1.875000;90.680000;22.000000;24.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
16128;61.000000;63.000000;1.875000;90.680000;22.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
16226;61.000000;62.000000;1.875000;90.459999;22.000000;23.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
16329;60.000000;62.000000;1.875000;90.860001;22.000000;23.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
16424;60.000000;62.000000;1.875000;90.800003;22.000000;24.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
16525;61.000000;62.000000;2.083333;90.740005;23.000000;23.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
16625;63.000000;62.000000;2.083333;90.860001;24.000000;23.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
16724;63.000000;63.000000;1.875000;90.800003;24.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
16827;63.000000;63.000000;1.875000;90.680000;24.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
16927;63.000000;62.000000;1.875000;90.740005;24.000000;23.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
17026;62.000000;63.000000;1.875000;90.800003;24.000000;24.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
17124;62.000000;62.000000;2.083333;90.860001;24.000000;24.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
17225;62.000000;62.000000;2.083333;90.800003;24.000000;24.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
17326;63.000000;62.000000;1.875000;90.800003;24.000000;24.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
17428;61.000000;63.000000;1.875000;90.740005;23.000000;24.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
17529;62.000000;62.000000;1.875000;90.800003;23.000000;24.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
17624;61.000000;63.000000;1.875000;90.680000;23.000000;24.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
17725;61.000000;63.000000;2.083333;90.740005;23.000000;24.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
17827;61.000000;62.000000;2.083333;90.860001;23.000000;24.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
17926;63.000000;63.000000;1.875000;90.919998;24.000000;24.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
18026;63.000000;62.000000;1.875000;90.800003;24.000000;23.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
18126;62.000000;62.000000;1.875000;91.320007;23.000000;23.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
18225;62.000000;61.000000;1.875000;90.860001;23.000000;23.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
18325;61.000000;62.000000;2.083333;90.980003;23.000000;23.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
18427;61.000000;61.000000;2.083333;90.980003;23.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
18528;62.000000;62.000000;1.875000;90.860001;23.000000;24.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
18626;63.000000;61.000000;1.875000;90.980003;24.000000;23.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
18726;62.000000;61.000000;1.875000;91.040009;24.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
18822;63.000000;62.000000;1.875000;90.919998;24.000000;23.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
18922;62.000000;62.000000;2.083333;90.980003;24.000000;23.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
19022;62.000000;62.000000;2.083333;91.040009;24.000000;23.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
19122;62.000000;63.000000;1.875000;91.040009;24.000000;24.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
19222;63.000000;63.000000;1.875000;91.080002;24.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
19322;63.000000;62.000000;1.875000;90.980003;24.000000;24.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
19430;62.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
19529;61.000000;61.000000;2.083333;91.040009;23.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
19624;60.000000;61.000000;2.083333;91.080002;22.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
19727;60.000000;61.000000;1.875000;91.080002;22.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
19824;60.000000;61.000000;1.875000;91.020004;22.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
19930;61.000000;63.000000;2.083333;91.260002;23.000000;24.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
20030;62.000000;63.000000;2.083333;91.080002;23.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
20126;62.000000;62.000000;2.083333;91.040009;24.000000;23.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
20225;62.000000;62.000000;2.083333;91.080002;24.000000;23.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
20327;62.000000;62.000000;1.875000;91.080002;24.000000;23.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
20425;63.000000;61.000000;1.875000;90.980003;24.000000;23.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
20527;63.000000;61.000000;2.083333;91.180000;24.000000;23.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
20625;63.000000;63.000000;2.083333;91.020004;24.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
20725;62.000000;62.000000;1.875000;91.040009;24.000000;24.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
20825;61.000000;63.000000;1.875000;91.080002;23.000000;24.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
20929;61.000000;63.000000;1.875000;91.139999;23.000000;24.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
21024;62.000000;63.000000;1.875000;91.139999;24.000000;24.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
21127;62.000000;62.000000;2.083333;91.080002;23.000000;24.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
21227;63.000000;63.000000;1.875000;91.020004;23.000000;24.000000;0.000000;0.000000;24.000000;23.000000;0.000000;0.000000
21327;63.000000;63.000000;1.875000;91.259995;23.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
21424;63.000000;62.000000;1.875000;91.080002;24.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
21524;61.000000;61.000000;1.875000;91.139999;23.000000;23.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
21625;62.000000;62.000000;1.875000;91.080002;24.000000;23.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
21726;62.000000;61.000000;2.083333;91.139999;23.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
21827;62.000000;61.000000;2.083333;91.199997;23.000000;23.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
21925;62.000000;62.000000;1.875000;91.139999;23.000000;23.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
22026;62.000000;62.000000;1.875000;91.199997;23.000000;24.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
22122;61.000000;62.000000;1.875000;91.139999;23.000000;23.000000;0.000000;0.000000;23.000000;22.000000;0.000000;0.000000
22222;62.000000;62.000000;1.875000;91.300003;24.000000;23.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
22322;62.000000;61.000000;2.083333;91.300003;24.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
22422;62.000000;61.000000;2.083333;91.139999;24.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
22522;62.000000;61.000000;1.875000;91.199997;24.000000;23.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
22622;62.000000;62.000000;1.875000;91.139999;24.000000;24.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
22722;61.000000;62.000000;1.875000;91.199997;23.000000;24.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
22822;61.000000;63.000000;1.875000;91.199997;23.000000;24.000000;0.000000;0.000000;22.000000;23.000000;0.000000;0.000000
22922;61.000000;62.000000;2.083333;91.199997;23.000000;24.000000;0.000000;0.000000;22.000000;22.000000;0.000000;0.000000
23022;62.000000;63.000000;2.083333;91.180000;23.000000;24.000000;0.000000;0.000000;23.000000;23.000000;0.000000;0.000000
23122;63.000000;62.000000;1.875000;91.139999;23.000000;23.000000;0.000000;0.000000;24.000000;23.000000;0.000000;0.000000
